crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	11.074135	1443	1550372864.000000
281474976710655.000000	11.260837	1444	1551439872.000000
281474976710655.000000	11.007408	1445	1552458240.000000
281474976710655.000000	11.327178	1446	1553523072.000000
281474976710655.000000	11.208151	1447	1554544256.000000
281474976710655.000000	11.675334	1448	1555605760.000000
281474976710655.000000	11.369574	1449	1556630656.000000
281474976710655.000000	11.658238	1450	1557687680.000000
281474976710655.000000	11.702177	1451	1558716416.000000
281474976710655.000000	11.595707	1452	1559769856.000000
281474976710655.000000	11.016224	1453	1560802816.000000
281474976710655.000000	12.093090	1454	1561852416.000000
281474976710655.000000	12.058277	1455	1562889088.000000
281474976710655.000000	12.098229	1456	1563937408.000000
281474976710655.000000	11.672098	1457	1564973696.000000
281474976710655.000000	12.332810	1458	1566019712.000000
281474976710655.000000	12.437042	1459	1567058304.000000
281474976710655.000000	12.418099	1460	1568103808.000000
281474976710655.000000	12.379362	1461	1569144064.000000
281474976710655.000000	12.397234	1462	1570187392.000000
281474976710655.000000	12.418066	1463	1571228032.000000
281474976710655.000000	12.254931	1464	1572271232.000000
281474976710655.000000	12.204560	1465	1573312256.000000
281474976710655.000000	12.575622	1466	1574355840.000000
281474976710655.000000	12.201349	1467	1575397760.000000
281474976710655.000000	12.246379	1468	1576439552.000000
281474976710655.000000	12.495306	1469	1577481600.000000
281474976710655.000000	12.715590	1470	1578524416.000000
281474976710655.000000	12.728418	1471	1579565952.000000
281474976710655.000000	12.437453	1472	1580609024.000000
281474976710655.000000	12.444182	1473	1581648384.000000
281474976710655.000000	13.705210	1474	1582693504.000000
281474976710655.000000	12.763034	1475	1583733760.000000
281474976710655.000000	13.017257	1476	1584778112.000000
281474976710655.000000	12.973392	1477	1585817088.000000
281474976710655.000000	13.162710	1478	1586861952.000000
281474976710655.000000	12.767966	1479	1587900544.000000
281474976710655.000000	13.075071	1480	1588947072.000000
281474976710655.000000	13.585735	1481	1589984256.000000
281474976710655.000000	13.636851	1482	1591032704.000000
281474976710655.000000	12.757791	1483	1592067200.000000
281474976710655.000000	13.721115	1484	1593117568.000000
281474976710655.000000	13.367534	1485	1594150016.000000
281474976710655.000000	13.438727	1486	1595202688.000000
281474976710655.000000	13.268948	1487	1596233472.000000
281474976710655.000000	13.459985	1488	1597288960.000000
281474976710655.000000	13.642435	1489	1598316160.000000
281474976710655.000000	13.193160	1490	1599374208.000000
281474976710655.000000	14.130222	1491	1600397568.000000
281474976710655.000000	14.243223	1492	1601459712.000000
281474976710655.000000	14.016677	1493	1602481920.000000
281474976710655.000000	14.772955	1494	1603543296.000000
281474976710655.000000	13.846866	1495	1604563328.000000
281474976710655.000000	14.703585	1496	1605629184.000000
281474976710655.000000	14.387350	1497	1606647424.000000
281474976710655.000000	13.564464	1498	1607714048.000000
281474976710655.000000	15.022126	1499	1608730496.000000
281474976710655.000000	14.273023	1500	1609797888.000000
281474976710655.000000	14.519372	1501	1610814464.000000
281474976710655.000000	14.834996	1502	1611883520.000000
281474976710655.000000	14.277576	1503	1612898304.000000
281474976710655.000000	15.450028	1504	1613967488.000000
281474976710655.000000	14.329388	1505	1614981248.000000
281474976710655.000000	14.539143	1506	1616050432.000000
281474976710655.000000	14.903681	1507	1617065856.000000
281474976710655.000000	14.602538	1508	1618135424.000000
281474976710655.000000	14.368752	1509	1619151232.000000
281474976710655.000000	15.320983	1510	1620219136.000000
281474976710655.000000	14.356934	1511	1621234816.000000
281474976710655.000000	15.240854	1512	1622301952.000000
